1624,chabrowy ciemny,cornflower blue dark,#324f9f
1625,chabrowy bardzo ciemny,cornflower blue very dark,#323a8d
1626,szmaragdowy ciemny,emerald green dark,#2d3451
1627,szmaragdowy bardzo ciemny,emerald green very dark,#30416d
1628,chabrowy,royal blue,#3974c2
1629,granatowy,navy blue,#2d5394
1630,granatowy najciemniejszy,navy blue ultra dark,#262d40
1631,niebieski antyczny najjaśniejszy,antique blue ultra light,#bad2dc
1632,niebieski antyczny bardzo jasny,antique blue very light,#acc5cc
1633,niebieski antyczny ciemny,antique blue dark,#557490
1634,niebieski antyczny jasny,antique blue light,#82a2bb
1635,stalowoszary jasny,steel grey light,#8e96a9
1636,stalowoszary ciemny,steel grey dark,#454f58
1637,niebieski antyczny,antique blue,#587b99
1638,niebieski antyczny najciemniejszy,antique blue ultra dark,#395773
1639,morski najjaśniejszy,sea green ultra light,#c0dadb
1640,morski bardzo jasny,sea green very light,#b1cdce
1641,morski jasny,sea green light,#5daab0
1642,morski,sea green,#2e6f85
1643,ciemny morski,sea blue dark,#2b6b97
1644,bardzo ciemny morski,marine very dark,#224958
1645,szarozielony bardzo jasny,grey green very light,#bec8bd
1646,szarozielony jasny,grey green light,#98afa7
1647,szarozielony,green grey,#688c88
1648,szarozielony ciemny,gray green dark,#496b74
1649,szarozielony najciemniejszy,gray green ultra dark,#30525b
1650,bardzo jasny turkus,heather very light,#b8dfdc
1651,jasny turkus,light turquoise,#8fc8c1
1652,turkus,turquoise,#52c1dc
1653,ciemny turkus,turquoise dark,#41b3cd
1654,bardzo ciemny turkus,turquoise very dark,#44a9bd
1655,najciemniejszy turkus,turquoise ultra dark,#38a2ca
1656,turkusowozielony najjaśniejszy,turquoise green ultra light,#c7e9d9
1657,turkusowozielony jasny,turquoise green light,#88d4ba
1658,zielony morski,sea green,#348670
1659,zielony morski jasny,sea green light,#5aa89a
1660,turkusowozielony,turquoise green,#57c0a1
1661,turkusowozielony ciemny,turquoise green dark,#40af8f
1662,turkusowozielony bardzo ciemny,turquoise green very dark,#3c9f8a
1663,jasny groszek,peas light,#a5dd94
1664,groszek,peas,#84cb7b
1665,przybrudzony szmaragdowy jasny,soiled emerald light,#69c390
1666,przybrudzony szmaragdowy,soiled emerald,#539e80
1667,przybrudzony szmaragdowy ciemny,soiled emerald dark,#3c8069
1668,przybrudzony szmarag. najciem.,soiled emerald ultra dark,#346a5d
1669,tymniankowy jasny,thyme light,#98b096
1670,tymniankowy,thyme,#8fa388
1671,tymniankowy ciemny,thyme dark,#567d60
1672,tymniankowy najciemniejszy,turquoise ultra very dark,#38513b
1673,przybrudzona zieleń,soiled green,#88ab6b
1674,przybrudzona zieleń ciemna,soiled green dark,#395144
1675,akwamaryna najciemniejsza,aquamarine very dark,#bec889
1676,akwamaryna,aquamarine,#53a660
1677,akwamaryna średnia,aquamarine medium,#409458
1678,akwamaryna ciemna,aquamarine dark,#36744d
1679,akwamaryna jasna,aquamarine light,#88ab6b
1680,zieleń jasna,christmas green light,#72ac3e
1681,zieleń,green,#3c814a
1682,zieleń ciemna,green dark,#336f4b
1683,zielony najjaśniejszy,green ultra light,#cfd491
1684,zielony bardzo jasny,green very light,#96ae4c
1685,zielony jasny,green light,#768b46
1686,zielony,green,#53623b
1687,zielony ciemny,green dark,#457948
1688,zielony bardzo ciemny,green very dark,#37613d
1689,zielony najciemniejszy,green ultra dark,#314834
1690,zieleń awokado najjaśniejsza,avocado green ultra light,#bab648
1691,zieleń awokado bardzo jasna,avocado green very light,#98a249
1692,zieleń awokado jasna,avocado green light,#748139
1693,zieleń awokado,avocado green,#616a33
1694,zieleń awokado ciemna,avocado green dark,#535a38
1695,zieleń papuzia najjaśniejsza,parrot green ultra light,#cdc24e
1696,zieleń papuzia bardzo jasna,parrot green very light,#bcb22e
1697,zieleń papuzia jasna,parrot green light,#aba125
1698,zieleń papuzia,parrot green,#8fac2c
1699,zieleń papuzia ciemna,fern green dark,#61983b
1700,zieleń papuzia bardzo ciemna,parrot green very dark,#3e8340
1701,zieleń papuzia najciemniejsza,parrot green ultra dark,#38713a
1702,zieleń khaki najjaśniejsza,khaki green ultra light,#c5cd92
1703,zieleń khaki bardzo jasna,khaki green light,#9fa662
1704,zieleń khaki jasna,khaki green light,#7f8954
1705,zieleń khaki,khaki green,#9ba753
1706,zieleń khaki ciemna,khaki green dark,#4a502e
1707,zieleń khaki bardzo ciemna,khaki green very dark,#3f4835
1708,spłowiała oliwka,faded olive,#d6da7c
1709,oliwkowozielony bardzo jasny,olive green very light,#c4a634
1710,oliwkowozielony jasny,olive green light,#b2912a
1711,oliwkowozielony,olive green,#7d622b
1712,oliwkowozielony średni,olive green medium,#6b542b
1713,oliwkowozielony ciemny,olive green dark,#4e5a34
1714,oliwkowozielony najciemniejszy,olive green ultra dark,#363f2e
1715,złota oliwka jasna,golden olive light,#c19a25
1716,złota oliwka,golden olive,#8f7e38
1717,złota oliwka ciemna,golden olive dark,#69632f
1718,złota oliwka najciemniejsza,golden olive ultra dark,#504227
1719,oliwkowobrązowy jasny,olive brown light,#d6b453
1720,oliwkowobrązowy najjaśniejszy,olive brown ultra light,#efd274
1721,oliwkowobrązowy bardzo jasny,olive brown very light,#d8ae3e
1722,oliwkowobrązowy,olive brown,#c69433
1723,oliwkowobrązowy ciemny,olive brown dark,#b37828
1724,oliwkowobrązowy bardzo ciemny,olive brown very dark,#75452e
1725,oliwkowobrązowy najciemniejszy,olive brown ultra dark,#634732
1726,stare złoto średnie,old gold medium,#d68d2f
1727,stare złoto,old gold,#e58225
1728,stare złoto ciemne,old gold dark,#bd7529
1729,stare złoto bardzo ciemne,old gold very dark,#bd6c2a
1730,stare złoto najjaśniejsze,old gold ultra light,#f0d681
1731,orzechowy,hazelnut,#9a462e
1732,orzechowy ciemny,hazelnut brown dark,#593e33
1733,orzechowy najciemniejszy,hazelnut ultra dark,#39302b
1734,miedziany bardzo ciemny,red copper very dark,#972f30
1735,ceglasty najjaśniejszy,brick red ultra light,#f4bf59
1736,ceglasty bardzo jasny,brick red very light,#ed912c
1737,ceglasty,brick red,#da4040
1738,ceglasty ciemny,brick red dark,#ce2832
1739,miodowy,honey,#de612b
1740,miodowy ciemny,honey dark,#b9472c
1741,mahoniowy jasny,mahogany light,#b95545
1742,mahoniowy,mahogany,#8f352d
1743,mahoniowy średni,mahogany medium,#8a2c2a
1744,mahoniowy ciemny,mahogany dark,#7d3131
1745,terakota najjaśniejsza,terracotta ultra light,#f9d4c2
1746,terakota bardzo jasna,terracotta very light,#e9b093
1747,terakota jasna,terracotta light,#d78879
1748,terakota,terracotta,#bd6758
1749,terakota średnia,terracotta medium,#983434
1750,terakota ciemna,terracotta dark,#842932
1751,terakota bardzo ciemna,terracotta very dark,#6f2d2f
1752,zdrewniały róż ciemny,rosewood dark,#c96a56
1753,zdrewniały róż najjaśniejszy,rosewood ultra light,#f6b285
1754,zdrewniały róż jasny,rosewood light,#f3ae91
1755,zdrewniały róż,rosewood,#e99277
1756,czerwonokasztanowy jasny,red chestnut light,#da4f54
1757,czerwonokasztanowy,red chestnut,#ba3339
1758,czerwonokasztanowy średni,red chestnut medium,#a62d34
1759,czerwonokasztanowy ciemny,red chestnut dark,#a32934
1760,przybrudzony koralowy,soiled coral,#cc3b4a
1761,przybrudzony koralowy jasny,soiled coral light,#d66255
1762,antyczny fioletowy ciemny,antique violet medium,#64413f
1763,antyczny fioletowy,antique violet,#897678
1764,antyczny fioletowy jasny,antique violet light,#b29597
1765,cielisty jasny,flesh-coloured light,#f9e1c5
1766,cielisty,flesh-coloured,#f0a860
1767,cielisty średni,flesh medium,#e2914f
1768,cielisty ciemny,flesh-coloured dark,#d9803e
1769,cielisty bardzo ciemny,flesh-coloured very dark,#cf6f56
1770,piasek pustyni jasny,desert sand light,#c8705c
1771,piasek pustyni,desert sand,#ad5a4c
1772,piasek pustyni ciemny,desert sand dark,#87423b
1773,piasek pustyni bardzo ciemny,desert sand very dark,#733132
1774,piasek pustyni najciemniejszy,desert sand ultra dark,#523730
1775,złotobrązowy najjaśniejszy,golden brown ultra light,#f6efc5
1776,złotobrązowy bardzo jasny,golden brown light,#f1d2a4
1777,złotobrązowy jasny,golden brown light,#e6af6c
1778,złotobrązowy,golden brown,#be5f2f
1779,złotobrązowy średni,golden brown medium,#b1552c
1780,złotobrązowy ciemny,golden brown dark,#a6462d
1781,złotobrązowy bardzo ciemny,golden brown very dark,#b2902c
1782,złotobrązowy najciemniejszy,golden brown ultra dark,#543932
1783,kakaowy,cocoa,#a7645b
1784,kakaowy bardzo ciemny,cocoa very dark,#5b362d
1785,kakaowy najciemniejszy,cocoa ultra dark,#4a322e
1786,brązowoczarny,black browne,#2d1f1f
1787,brudnobrązowy jasny,drab brown light,#bea261
1788,brudnobrązowy średni,drab brown medium,#ac8b56
1789,brudnobrązowy ciemny,drab brown dark,#826140
1790,ecru,ecru,#f2e2cb
1791,czekoladowy najjaśniejszy,mocha brown ultra very light,#e7dac7
1792,szaroczekoladowy jasny,gray chocolate,#a79267
1793,szaroczekoladowy,gray chocolate,#6f5544
1794,czekoladowy,chocolate,#5f4536
1795,szarobeżowy,gray beige,#e7d8ad
1796,szarobeżowy średni,beige grey medium,#cbbf97
1797,szarobeżowy ciemny,beige grey dark,#9d8762
1798,szarobeżowy bardzo ciemny,beige grey very dark,#826d52
1799,szarobrązowy ciemny,brown grey dark,#5a5247
1800,szarobrązowy bardzo ciemny,brown grey very dark,#53423a
1801,oliwkowoszary najjaśniejszy,olive gray ultra light,#dfcaab
1802,oliwkowoszary średni,olive gray medium,#b5b89b
1803,oliwkowoszary,olive gray,#737d4b
1804,oliwkowoszary jasny,olive gray light,#a0a771
1805,szarobobrzasty jasny,beaver grey light,#e5e5dd
1806,szarobobrzasty,beaver grey,#aaa794
1807,szarobobrzasty średni,beaver grey medium,#726f60
1808,szarobobrzasty ciemny,beaver grey dark,#444942
1809,beżowocynowy,beige tin,#c6c4b7
1810,cynowy jasny,pewter grey light,#9a9c9b
1811,cynowy,pewter grey,#5e696b
1812,cynowy ciemny,pewter grey dark,#384146
1813,stalowy bardzo jasny,steel very light,#d0d0da
1814,stalowy jasny,steel light,#adaeb3
1815,stalowy,steel,#6c798c
1816,stalowy ciemny,steel dark,#454f58
1817,grafit,graphite,#4e5754
1818,ciemny grafit,graphite dark,#2b302c
1819,czarny,black,#231f20
1500A,śnieżna biel,winter white,
1526A,dyniowy blady,pumpkin pale,
1535A,różowy niemowlęcy jasny,baby pink light,
1555A,łososiowy róż jasny,salmon pink light,
1555B,łososiowy róż,salmon pink,
1555C,łososiowy róż bardzo ciemny,salmon pink very dark,
1565A,malinowy średni,raspberry medium,
1566A,żurawinowy rozbielony,cranberry white,
1569A,brudny róż średni,dusty rose medium,
1577A,różowy kwiat jabłoni,apple blossom,
1579A,purpurowofioletowy bardzo ciemny,antique mauve very dark,
1580A,fioletowy rozbielony,white violet,
1585A,śliwkowy średni,plum medium,
1587A,lawendowy rozbielony,white lavender,
1588A,lawendowy ciemny,lavender dark,
1588B,lawendowy jasny,lavender light,
1598A,fuksja bardzo ciemna,fuchsia very dark,
1608A,jagodowy ciemny,blueberry dark,
1608B,fioletowoniebieski średni,lavender,
1608C,fioletowoniebieski ciemny,lavender blue dark,
1620A,świetlisty niebieski ciemny,electric blue dark,
1626A,niebieskoszary jasny,light blue grey,
1626B,popielaty niebieski,ash blue,
1630A,błękit niemowlęcy najjaśniejszy,baby blue ultra light,
1634A,perłowy,pearly,
1635A,stalowoszary średni,steel grey medium,
1635B,myszkowy szary,mouse grey,
1635C,cynowy średni,pewter grey medium,
1638A,niebieski antyczny bardzo ciemny,antique blue very dark,
1644A,bobrzasty szary bardzo jasny,beaver grey very light,
1657A,zielonkawoniebieski ciemny,teal green dark,
1664A,nefryt ciemny,jade dark,
1671A,nefryt bardzo ciemny,jade very dark,
1686A,zieleń leśna,forest green,
1686B,zieleń leśna ciemna,forest green dark,
1691A,zieleń mchu ciemna,moss green dark,
1691B,zielony łagodna jasna,tender green light,
1691C,zieleń mchu jasna,moss green light,
1691D,zieleń mchu,moss green,
1698A,zielony jabłkowy jasny,apple green light,
1704A,sosnowy ciemny,pine green dark,
1714A,beżowożółty jasny,yellow beige light,
1714B,musztardowy jasny,mustard light,
1714C,musztardowy średni,mustard medium,
1721A,słomiany,straw yellow,
1725A,stare złoto jasne,old gold light,
1730A,brązowy,bronze,
1751A,zdrewniały róż bardzo ciemny,rosewood medium,
1762A,kakaowy średni,cocoa medium,
1763A,kakaowy jasny,cocoa light,
1782A,kawowobeżowy średni,mocha beige medium,
1782B,beżowobrązowy najjaśniejszy,beige brown ultra light,
1794A,brązowy korzenny ciemny,driftwood dark,
1794B,beżowoszary najciemniejszy,beige grey ultra dark,
1801A,szarobrązowy jasny,brown grey light,
number,pl,name,rgb
